"","UF","year","week","cases","deaths"
"1","Acre",2020,5,0,0
"2","Acre",2020,6,0,0
"3","Acre",2020,7,0,0
"4","Acre",2020,8,0,0
"5","Acre",2020,9,0,0
"6","Acre",2020,10,0,0
"7","Acre",2020,11,0,0
"8","Acre",2020,12,9,0
"9","Acre",2020,13,25,0
"10","Acre",2020,14,46,0
"11","Alagoas",2020,5,0,0
"12","Alagoas",2020,6,0,0
"13","Alagoas",2020,7,0,0
"14","Alagoas",2020,8,0,0
"15","Alagoas",2020,9,0,0
"16","Alagoas",2020,10,0,0
"17","Alagoas",2020,11,1,0
"18","Alagoas",2020,12,7,0
"19","Alagoas",2020,13,14,0
"20","Alagoas",2020,14,23,2
"21","Amapá",2020,5,0,0
"22","Amapá",2020,6,0,0
"23","Amapá",2020,7,0,0
"24","Amapá",2020,8,0,0
"25","Amapá",2020,9,0,0
"26","Amapá",2020,10,0,0
"27","Amapá",2020,11,0,0
"28","Amapá",2020,12,1,0
"29","Amapá",2020,13,4,0
"30","Amapá",2020,14,28,1
"31","Amazonas",2020,5,0,0
"32","Amazonas",2020,6,0,0
"33","Amazonas",2020,7,0,0
"34","Amazonas",2020,8,0,0
"35","Amazonas",2020,9,0,0
"36","Amazonas",2020,10,0,0
"37","Amazonas",2020,11,0,0
"38","Amazonas",2020,12,11,0
"39","Amazonas",2020,13,111,1
"40","Amazonas",2020,14,311,12
"41","Bahia",2020,5,0,0
"42","Bahia",2020,6,0,0
"43","Bahia",2020,7,0,0
"44","Bahia",2020,8,0,0
"45","Bahia",2020,9,0,0
"46","Bahia",2020,10,2,0
"47","Bahia",2020,11,2,0
"48","Bahia",2020,12,41,0
"49","Bahia",2020,13,127,0
"50","Bahia",2020,14,332,7
"51","Ceará",2020,5,0,0
"52","Ceará",2020,6,0,0
"53","Ceará",2020,7,0,0
"54","Ceará",2020,8,0,0
"55","Ceará",2020,9,0,0
"56","Ceará",2020,10,0,0
"57","Ceará",2020,11,0,0
"58","Ceará",2020,12,68,0
"59","Ceará",2020,13,314,4
"60","Ceará",2020,14,730,22
"61","Distrito Federal",2020,5,0,0
"62","Distrito Federal",2020,6,0,0
"63","Distrito Federal",2020,7,0,0
"64","Distrito Federal",2020,8,0,0
"65","Distrito Federal",2020,9,0,0
"66","Distrito Federal",2020,10,1,0
"67","Distrito Federal",2020,11,6,0
"68","Distrito Federal",2020,12,100,0
"69","Distrito Federal",2020,13,260,0
"70","Distrito Federal",2020,14,454,7
"71","Espírito Santo",2020,5,0,0
"72","Espírito Santo",2020,6,0,0
"73","Espírito Santo",2020,7,0,0
"74","Espírito Santo",2020,8,0,0
"75","Espírito Santo",2020,9,0,0
"76","Espírito Santo",2020,10,1,0
"77","Espírito Santo",2020,11,1,0
"78","Espírito Santo",2020,12,26,0
"79","Espírito Santo",2020,13,53,0
"80","Espírito Santo",2020,14,153,5
"81","Goiás",2020,5,0,0
"82","Goiás",2020,6,0,0
"83","Goiás",2020,7,0,0
"84","Goiás",2020,8,0,0
"85","Goiás",2020,9,0,0
"86","Goiás",2020,10,0,0
"87","Goiás",2020,11,3,0
"88","Goiás",2020,12,20,0
"89","Goiás",2020,13,56,1
"90","Goiás",2020,14,103,2
"91","Maranhão",2020,5,0,0
"92","Maranhão",2020,6,0,0
"93","Maranhão",2020,7,0,0
"94","Maranhão",2020,8,0,0
"95","Maranhão",2020,9,0,0
"96","Maranhão",2020,10,0,0
"97","Maranhão",2020,11,0,0
"98","Maranhão",2020,12,1,0
"99","Maranhão",2020,13,14,0
"100","Maranhão",2020,14,88,1
"101","Mato Grosso",2020,5,0,0
"102","Mato Grosso",2020,6,0,0
"103","Mato Grosso",2020,7,0,0
"104","Mato Grosso",2020,8,0,0
"105","Mato Grosso",2020,9,0,0
"106","Mato Grosso",2020,10,0,0
"107","Mato Grosso",2020,11,0,0
"108","Mato Grosso",2020,12,2,0
"109","Mato Grosso",2020,13,13,0
"110","Mato Grosso",2020,14,56,1
"111","Mato Grosso do Sul",2020,5,0,0
"112","Mato Grosso do Sul",2020,6,0,0
"113","Mato Grosso do Sul",2020,7,0,0
"114","Mato Grosso do Sul",2020,8,0,0
"115","Mato Grosso do Sul",2020,9,0,0
"116","Mato Grosso do Sul",2020,10,0,0
"117","Mato Grosso do Sul",2020,11,0,0
"118","Mato Grosso do Sul",2020,12,16,0
"119","Mato Grosso do Sul",2020,13,31,0
"120","Mato Grosso do Sul",2020,14,62,1
"121","Minas Gerais",2020,5,0,0
"122","Minas Gerais",2020,6,0,0
"123","Minas Gerais",2020,7,0,0
"124","Minas Gerais",2020,8,0,0
"125","Minas Gerais",2020,9,0,0
"126","Minas Gerais",2020,10,0,0
"127","Minas Gerais",2020,11,2,0
"128","Minas Gerais",2020,12,38,0
"129","Minas Gerais",2020,13,205,0
"130","Minas Gerais",2020,14,430,6
"131","Pará",2020,5,0,0
"132","Pará",2020,6,0,0
"133","Pará",2020,7,0,0
"134","Pará",2020,8,0,0
"135","Pará",2020,9,0,0
"136","Pará",2020,10,0,0
"137","Pará",2020,11,0,0
"138","Pará",2020,12,2,0
"139","Pará",2020,13,17,0
"140","Pará",2020,14,80,1
"141","Paraíba",2020,5,0,0
"142","Paraíba",2020,6,0,0
"143","Paraíba",2020,7,0,0
"144","Paraíba",2020,8,0,0
"145","Paraíba",2020,9,0,0
"146","Paraíba",2020,10,0,0
"147","Paraíba",2020,11,0,0
"148","Paraíba",2020,12,1,0
"149","Paraíba",2020,13,14,0
"150","Paraíba",2020,14,32,2
"151","Paraná",2020,5,0,0
"152","Paraná",2020,6,0,0
"153","Paraná",2020,7,0,0
"154","Paraná",2020,8,0,0
"155","Paraná",2020,9,0,0
"156","Paraná",2020,10,0,0
"157","Paraná",2020,11,6,0
"158","Paraná",2020,12,43,0
"159","Paraná",2020,13,133,2
"160","Paraná",2020,14,395,6
"161","Pernambuco",2020,5,0,0
"162","Pernambuco",2020,6,0,0
"163","Pernambuco",2020,7,0,0
"164","Pernambuco",2020,8,0,0
"165","Pernambuco",2020,9,0,0
"166","Pernambuco",2020,10,0,0
"167","Pernambuco",2020,11,2,0
"168","Pernambuco",2020,12,30,0
"169","Pernambuco",2020,13,68,5
"170","Pernambuco",2020,14,176,14
"171","Piauí",2020,5,0,0
"172","Piauí",2020,6,0,0
"173","Piauí",2020,7,0,0
"174","Piauí",2020,8,0,0
"175","Piauí",2020,9,0,0
"176","Piauí",2020,10,0,0
"177","Piauí",2020,11,0,0
"178","Piauí",2020,12,4,0
"179","Piauí",2020,13,11,1
"180","Piauí",2020,14,22,4
"181","Rio de Janeiro",2020,5,0,0
"182","Rio de Janeiro",2020,6,0,0
"183","Rio de Janeiro",2020,7,0,0
"184","Rio de Janeiro",2020,8,0,0
"185","Rio de Janeiro",2020,9,0,0
"186","Rio de Janeiro",2020,10,2,0
"187","Rio de Janeiro",2020,11,22,0
"188","Rio de Janeiro",2020,12,119,3
"189","Rio de Janeiro",2020,13,558,13
"190","Rio de Janeiro",2020,14,1246,58
"191","Rio Grande do Norte",2020,5,0,0
"192","Rio Grande do Norte",2020,6,0,0
"193","Rio Grande do Norte",2020,7,0,0
"194","Rio Grande do Norte",2020,8,0,0
"195","Rio Grande do Norte",2020,9,0,0
"196","Rio Grande do Norte",2020,10,0,0
"197","Rio Grande do Norte",2020,11,1,0
"198","Rio Grande do Norte",2020,12,6,0
"199","Rio Grande do Norte",2020,13,45,0
"200","Rio Grande do Norte",2020,14,212,5
"201","Rio Grande do Sul",2020,5,0,0
"202","Rio Grande do Sul",2020,6,0,0
"203","Rio Grande do Sul",2020,7,0,0
"204","Rio Grande do Sul",2020,8,0,0
"205","Rio Grande do Sul",2020,9,0,0
"206","Rio Grande do Sul",2020,10,0,0
"207","Rio Grande do Sul",2020,11,6,0
"208","Rio Grande do Sul",2020,12,60,0
"209","Rio Grande do Sul",2020,13,197,2
"210","Rio Grande do Sul",2020,14,410,6
"211","Rondônia",2020,5,0,0
"212","Rondônia",2020,6,0,0
"213","Rondônia",2020,7,0,0
"214","Rondônia",2020,8,0,0
"215","Rondônia",2020,9,0,0
"216","Rondônia",2020,10,0,0
"217","Rondônia",2020,11,0,0
"218","Rondônia",2020,12,1,0
"219","Rondônia",2020,13,6,0
"220","Rondônia",2020,14,11,1
"221","Roraima",2020,5,0,0
"222","Roraima",2020,6,0,0
"223","Roraima",2020,7,0,0
"224","Roraima",2020,8,0,0
"225","Roraima",2020,9,0,0
"226","Roraima",2020,10,0,0
"227","Roraima",2020,11,0,0
"228","Roraima",2020,12,0,0
"229","Roraima",2020,13,12,0
"230","Roraima",2020,14,37,1
"231","Santa Catarina",2020,5,0,0
"232","Santa Catarina",2020,6,0,0
"233","Santa Catarina",2020,7,0,0
"234","Santa Catarina",2020,8,0,0
"235","Santa Catarina",2020,9,0,0
"236","Santa Catarina",2020,10,0,0
"237","Santa Catarina",2020,11,4,0
"238","Santa Catarina",2020,12,51,0
"239","Santa Catarina",2020,13,184,1
"240","Santa Catarina",2020,14,334,5
"241","São Paulo",2020,5,0,0
"242","São Paulo",2020,6,0,0
"243","São Paulo",2020,7,0,0
"244","São Paulo",2020,8,0,0
"245","São Paulo",2020,9,2,0
"246","São Paulo",2020,10,13,0
"247","São Paulo",2020,11,65,0
"248","São Paulo",2020,12,459,15
"249","São Paulo",2020,13,1406,84
"250","São Paulo",2020,14,4466,260
"251","Sergipe",2020,5,0,0
"252","Sergipe",2020,6,0,0
"253","Sergipe",2020,7,0,0
"254","Sergipe",2020,8,0,0
"255","Sergipe",2020,9,0,0
"256","Sergipe",2020,10,0,0
"257","Sergipe",2020,11,0,0
"258","Sergipe",2020,12,10,0
"259","Sergipe",2020,13,16,0
"260","Sergipe",2020,14,27,2
"261","Tocantins",2020,5,0,0
"262","Tocantins",2020,6,0,0
"263","Tocantins",2020,7,0,0
"264","Tocantins",2020,8,0,0
"265","Tocantins",2020,9,0,0
"266","Tocantins",2020,10,0,0
"267","Tocantins",2020,11,0,0
"268","Tocantins",2020,12,2,0
"269","Tocantins",2020,13,9,0
"270","Tocantins",2020,14,14,0
"271","Brasil",2020,5,0,0
"272","Brasil",2020,6,0,0
"273","Brasil",2020,7,0,0
"274","Brasil",2020,8,0,0
"275","Brasil",2020,9,2,0
"276","Brasil",2020,10,19,0
"277","Brasil",2020,11,121,0
"278","Brasil",2020,12,1128,18
"279","Brasil",2020,13,3903,114
"280","Brasil",2020,14,10278,432
